MID|MERCHANT_DBA_NAME|MSO|SOURCE_CODE|WILAYAH|CHANNEL|TAHUN|BULAN
201175601|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175619|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175627|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175635|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175643|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175650|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175668|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175676|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175684|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175692|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175700|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175718|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175726|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175734|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175742|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175759|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175767|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175775|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175783|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175791|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175809|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175817|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175825|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175833|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175841|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175858|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175866|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175874|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175882|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175890|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175908|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175916|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175924|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175932|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175940|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175957|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175965|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
201175973|STOCK MID INSTANT USAGE 2|   |                  |WMD|SUPPORT|2019|5
